Site.x	Tag	Unique.Random.ID	File	Total.Reads	Aligned.Reads	Unaligned.Reads	Ambiguously.Aligned.Reads	No.Genomic.Sequence	Duplicate.Reads..removed.	Unique.Reads..remaining.	Total.Cs	Methylated.CpGs	Unmethylated.CpGs	Methylated.chgs	Unmethylated.chgs	Methylated.CHHs	Unmethylated.CHHs	Species.x	Site.x.x	Community.x	Plot.x	C.W.G.x	Plant.ID.x	Leaf.collection.DOY.x	Phenology.x	Collector.x	mix	Species.y	Site.y	Plot.y	C.T.x	Plant.ID.y	Date	FLWR.PHENO.Flwr.Bud	FLWR.PHENO.Flwr.Mat	FLWR.PHENO.Flwr.Sen.	FLWR.PHENO.Cap.twist	FLWR.PHENO.Seed.Disp	FLWR.PHE.Aborted	Eaten	Height	PHENO	Flwr_total	Community.y	C.W.G.y	Plot.x.x	Plant.ID.x.x	Phenology.2018	X..Cap.Twist.2019	Collect.	Tag.nearby	X2019.Collection.Count	Collection.2019	Weight.x	Photo.time	Photo.DOY	DOY.Lv.collected	Lf.hairs	Aphids	Crystals.on.lv	DOY.Seed...Lv.Collected.2019	Plate.x	Location.x	Comments.x	Petri.Dish.ID.	C.T.y	Plant.ID.y.y	Species.x.x	Site.y.y	Plot.y.y	X..seeds..50.seeds.	X..seeds.Petri.dish.in.lab	ungerminated.seed.count.GD33	total.germinated.seeds	Seeds.Collection.DOY	Phenology.y	X..seeds..all.seeds.	weight.all.seeds..g.mg.	X..extra.seed	weight.extra.seeds..g.mg.	weight.50.seeds..mg.	Extra.seeds..Y.N.	Processor	Comments.y	Unique.non.random.ID	X..Dryas.flwrs	Dryas.seed.Ripeness	Notes	Chamber	C.W	Site.x.x.x	Species.y.y	Community.x.x	Plot.x.x.x	Plant.ID.x.x.x	Unique.Random.ID.x	Number.of.Seeds	Seed.weight.mg	Seed.Agar.group	Jan22.Low	Jan25.Low	Jan28.Low	Jan31.Low	Feb1st	Percent_germ	Plate.y	Location.y	Numb.Lv	Weight.y	DNA.extraction.comments	Hair.on.leaves	Petioles	Observer	Unique.Random.ID.1	Species	Site.y.y.y	Community.y.y	Plot.y.y.y	C.W.G	Plant.ID.y.y.y	Leaf.collection.DOY.y	Phenology	Collector.y	Latitude	Longitude	Comments
MEAD6C	468	22	C1.F05.C1e2_MEAD6C_468_22_R1_val_1_bismark_bt2_pe.bam	54826904	38109890	7465822	9250991	201	6132838	31977052	1068273137	36900652	74814547	20530594	127611709	21566191	786849444	D. integrifolia	Alexandra Fiord	MEAD	6	C	468	224	Longterm	Cassandra	MEAD_6_C_468	Dryas	MEAD	6	C	468	219	NA	NA	3	2	NA	NA	NA	64	Cap	5	MEAD	C	6	468	Longterm	0	N		NA		0.03	1:07	209	208	1	NA	1	NA	1 and 2	e2	468 missing. 469 leaves sampled by flag.	Dr022	C	468	Dryas	MEAD	6	50	49	48	0	224	Y	50	15.16	NA	10.36	4.8	Y	Zoe		132	3	2		LOW	C	Alexandra Fiord	D. integrifolia	MEAD	6	468	22	NA	NA		0	0	0	0	0	NA	1 and 2	e2	4	10.8		1	S		22	D. integrifolia	Alexandra Fiord	MEAD	6	C	468	224	Longterm	Cassandra			
MEAD6C	468	22	C1.F05.C1e2_MEAD6C_468_22_R1_val_1_bismark_bt2_pe.bam	54826904	38109890	7465822	9250991	201	6132838	31977052	1068273137	36900652	74814547	20530594	127611709	21566191	786849444	D. integrifolia	Alexandra Fiord	MEAD	6	C	468	224	Longterm	Cassandra	MEAD_6_C_468	Dryas	MEAD	6	C	468	219	NA	NA	3	2	NA	NA	NA	64	Cap	5	MEAD	C	6	468	Longterm	0	N		NA		0.03	1:07	209	208	1	NA	1	NA	1 and 2	e2	468 missing. 469 leaves sampled by flag.	Dr022	C	468	Dryas	MEAD	6	50	49	48	0	224	Y	50	15.16	NA	10.36	4.8	Y	Zoe		132	3	2		HIGH	C	Alexandra Fiord	D. integrifolia	MEAD	6	468	22	NA	NA		0	0	0	0	0	NA	1 and 2	e2	4	10.8		1	S		22	D. integrifolia	Alexandra Fiord	MEAD	6	C	468	224	Longterm	Cassandra			
MEAD7C	473	95	C1.F07.C1f7_MEAD7C_473_95_R1_val_1_bismark_bt2_pe.bam	63203548	43954525	8789782	10458977	264	7237995	36716530	1266377268	39788540	98992798	23198629	152583086	21137351	930676864	D. integrifolia	Alexandra Fiord	MEAD	7	C	473	224	Longterm	Cassandra	MEAD_7_C_473	Dryas	MEAD	7	C	473	219	NA	NA	1	NA	NA	2	NA	51	Sen	3	MEAD	C	7	473	Longterm	0	N		NA		0.03	1:13	209	208	0	NA	1	NA	1 and 2	f7		Dr095	C	473	Dryas	MEAD	7	0	0	NA	NA	224	Y	0	0	0	0	0	N	Zoe		134	1	1		LOW	C	Alexandra Fiord	D. integrifolia	MEAD	7	473	95	NA	NA		0	0	0	0	0	NA	1 and 2	f7	3	9.5		1	S	Chris	95	D. integrifolia	Alexandra Fiord	MEAD	7	C	473	224	Longterm	Cassandra			
MEAD7C	473	95	C1.F07.C1f7_MEAD7C_473_95_R1_val_1_bismark_bt2_pe.bam	63203548	43954525	8789782	10458977	264	7237995	36716530	1266377268	39788540	98992798	23198629	152583086	21137351	930676864	D. integrifolia	Alexandra Fiord	MEAD	7	C	473	224	Longterm	Cassandra	MEAD_7_C_473	Dryas	MEAD	7	C	473	219	NA	NA	1	NA	NA	2	NA	51	Sen	3	MEAD	C	7	473	Longterm	0	N		NA		0.03	1:13	209	208	0	NA	1	NA	1 and 2	f7		Dr095	C	473	Dryas	MEAD	7	0	0	NA	NA	224	Y	0	0	0	0	0	N	Zoe		134	1	1		HIGH	C	Alexandra Fiord	D. integrifolia	MEAD	7	473	95	NA	NA		0	0	0	0	0	NA	1 and 2	f7	3	9.5		1	S	Chris	95	D. integrifolia	Alexandra Fiord	MEAD	7	C	473	224	Longterm	Cassandra			
WILL7C	445	125	C1.F08.C1a10_WILL7C_445_125_R1_val_1_bismark_bt2_pe.bam	54074498	37934453	7466749	8673113	183	5680826	32253627	1137835620	36501874	86684229	21015861	136755511	20718136	836160009	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra	WILL_7_C_445	Dryas	WILL	7	C	445	219	NA	NA	5	NA	NA	5	NA	43	Sen	10	WILL	C	7	445	Longterm	17	Y		7	Y	0.05	3:17	209	208	5	NA	NA	NA	1 and 2	a10		Dr125	C	445	Dryas	WILL	7	50	45	42	0	224	Y	50	4.48	NA	0.97	3.51	Y	Hailey		164	1	2		LOW	C	Alexandra Fiord	D. integrifolia	WILL	7	445	125	25	0.008	D2	0	4	8	8	8	0.32	1 and 2	a10	10	14.5-2.4		1	S	Cassandra	125	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra			
WILL7C	445	125	C1.F08.C1a10_WILL7C_445_125_R1_val_1_bismark_bt2_pe.bam	54074498	37934453	7466749	8673113	183	5680826	32253627	1137835620	36501874	86684229	21015861	136755511	20718136	836160009	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra	WILL_7_C_445	Dryas	WILL	7	C	445	219	NA	NA	5	NA	NA	5	NA	43	Sen	10	WILL	C	7	445	Longterm	17	Y		7	Y	0.05	3:17	209	208	5	NA	NA	NA	1 and 2	a10		Dr125	C	445	Dryas	WILL	7	50	45	42	0	224	Y	50	4.48	NA	0.97	3.51	Y	Hailey		164	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	7	445	125	25	0.008	D2	0	1	7	7	7	0.28	1 and 2	a10	10	14.5-2.4		1	S	Cassandra	125	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra			
WILL1C	406	152	C1.F09.C1a12_WILL1C_406_152_R1_val_1_bismark_bt2_pe.bam	56396034	39534223	7869766	8991815	230	6763695	32770528	1136169809	38920532	80312281	21838130	135944497	23293111	835861258	D. integrifolia	Alexandra Fiord	WILL	1	C	406	224	Longterm	Cassandra	WILL_1_C_406	Dryas	WILL	1	C	406	219	NA	NA	3	1	NA	NA	1	69	Cap 	5	WILL	C	1	406	Longterm	3	Y	405	1	Y	0.02	2:30	209	208	3	NA	NA	NA	1 and 2	a12		Dr152	C	406	Dryas	WILL	1	50	50	50	0	Aug 12 2018	Y	50	9.67	NA	6.22	3.45	Y	Zoe		141	2	2		LOW	C	Alexandra Fiord	D. integrifolia	WILL	1	406	152	25	0.003	C3	0	0	0	0	0	0	1 and 2	a12	8	16.2-4.2		1	S	Cassandra	152	D. integrifolia	Alexandra Fiord	WILL	1	C	406	224	Longterm	Cassandra			
WILL1C	406	152	C1.F09.C1a12_WILL1C_406_152_R1_val_1_bismark_bt2_pe.bam	56396034	39534223	7869766	8991815	230	6763695	32770528	1136169809	38920532	80312281	21838130	135944497	23293111	835861258	D. integrifolia	Alexandra Fiord	WILL	1	C	406	224	Longterm	Cassandra	WILL_1_C_406	Dryas	WILL	1	C	406	219	NA	NA	3	1	NA	NA	1	69	Cap 	5	WILL	C	1	406	Longterm	3	Y	405	1	Y	0.02	2:30	209	208	3	NA	NA	NA	1 and 2	a12		Dr152	C	406	Dryas	WILL	1	50	50	50	0	Aug 12 2018	Y	50	9.67	NA	6.22	3.45	Y	Zoe		141	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	1	406	152	25	0.003	C3	0	0	0	0	0	0	1 and 2	a12	8	16.2-4.2		1	S	Cassandra	152	D. integrifolia	Alexandra Fiord	WILL	1	C	406	224	Longterm	Cassandra			
WILL5C	422	31	C1.G05.C1d3_WILL5C_422_31_R1_val_1_bismark_bt2_pe.bam	63860822	45017281	8574249	10269042	250	7922378	37094903	1302746845	44765949	92281345	25439815	155648237	25089983	959521516	D. integrifolia	Alexandra Fiord	WILL	5	C	422	224	Longterm	Cassandra	WILL_5_C_422	Dryas	WILL	5	C	422	219	NA	NA	4	NA	NA	NA	NA	47	Sen	4	WILL	C	5	422	Longterm	3	Y		4	Y	0.04	2:57	209	208	0	NA	NA	NA	1 and 2	d3		Dr031	C	422	Dryas	WILL	5	50	50	50	0	224	Y	50	3.36	0	0	3.36	N	Andrew		155	1	2		LOW	C	Alexandra Fiord	D. integrifolia	WILL	5	422	31	25	0.007	C1	0	0	0	0	0	0	1 and 2	d3	3	11.6		1	S	Hailey	31	D. integrifolia	Alexandra Fiord	WILL	5	C	422	224	Longterm	Cassandra			
WILL5C	422	31	C1.G05.C1d3_WILL5C_422_31_R1_val_1_bismark_bt2_pe.bam	63860822	45017281	8574249	10269042	250	7922378	37094903	1302746845	44765949	92281345	25439815	155648237	25089983	959521516	D. integrifolia	Alexandra Fiord	WILL	5	C	422	224	Longterm	Cassandra	WILL_5_C_422	Dryas	WILL	5	C	422	219	NA	NA	4	NA	NA	NA	NA	47	Sen	4	WILL	C	5	422	Longterm	3	Y		4	Y	0.04	2:57	209	208	0	NA	NA	NA	1 and 2	d3		Dr031	C	422	Dryas	WILL	5	50	50	50	0	224	Y	50	3.36	0	0	3.36	N	Andrew		155	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	5	422	31	25	0.007	C1	0	1	0	0	0	0	1 and 2	d3	3	11.6		1	S	Hailey	31	D. integrifolia	Alexandra Fiord	WILL	5	C	422	224	Longterm	Cassandra			
FERT5C	1F	97	C1.G07.C1h7_FERT5C_1F_97_R1_val_1_bismark_bt2_pe.bam	66320579	46044693	9529507	10746122	257	7111501	38933192	1329978970	45076645	93979426	24235868	160133870	24842406	981710755	D. integrifolia	Alexandra Fiord	FERT	5	C	1F	224	Y	Cassandra	FERT_5_C_1F	Dryas	FERT	5	C	1F	219	NA	NA	5	NA	NA	NA	NA	31		5	FERT	C	5	1F	Y	1	Y		1	Y	0.04	11:58	209	208	0	NA	NA	NA	1 and 2	h7		Dr097	C	1F	Dryas	FERT	5	50	50	50	0	224	Y	50	17.15	NA	11.75	5.4	Y	Zoe		107	2	2		LOW	C	Alexandra Fiord	D. integrifolia	FERT	5	1F	97	25	0.004	D2	0	0	1	1	1	0.04	1 and 2	h7	5	15.9-2.4		1	S	Cassandra	97	D. integrifolia	Alexandra Fiord	FERT	5	C	1F	224	Y	Cassandra			
FERT5C	1F	97	C1.G07.C1h7_FERT5C_1F_97_R1_val_1_bismark_bt2_pe.bam	66320579	46044693	9529507	10746122	257	7111501	38933192	1329978970	45076645	93979426	24235868	160133870	24842406	981710755	D. integrifolia	Alexandra Fiord	FERT	5	C	1F	224	Y	Cassandra	FERT_5_C_1F	Dryas	FERT	5	C	1F	219	NA	NA	5	NA	NA	NA	NA	31		5	FERT	C	5	1F	Y	1	Y		1	Y	0.04	11:58	209	208	0	NA	NA	NA	1 and 2	h7		Dr097	C	1F	Dryas	FERT	5	50	50	50	0	224	Y	50	17.15	NA	11.75	5.4	Y	Zoe		107	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	FERT	5	1F	97	25	0.004	D2	0	0	0	0	0	0	1 and 2	h7	5	15.9-2.4		1	S	Cassandra	97	D. integrifolia	Alexandra Fiord	FERT	5	C	1F	224	Y	Cassandra			
MEAD1C	446	33	C1.H05.C1f3_MEAD1C_446_33_R1_val_1_bismark_bt2_pe.bam	60241255	42463992	8483452	9293590	221	6444793	36019199	1266027883	41609444	93864429	25161604	150514054	24956746	929921606	D. integrifolia	Alexandra Fiord	MEAD	1	C	446	224	Longterm	Cassandra	MEAD_1_C_446	Dryas	MEAD	1	C	446	219	NA	NA	3	NA	NA	NA	NA	49	Sen	3	MEAD	C	1	446	Longterm	0	N		NA		0.03	12:39	209	208	0	NA	NA	NA	1 and 2	f3		Dr033	C	446	Dryas	MEAD	1	50	46	48	0	224	Y	61	3.64	11	0.55	3.09	Y	Andrew		123	1	2		LOW	C	Alexandra Fiord	D. integrifolia	MEAD	1	446	33	NA	NA		0	0	0	0	0	NA	1 and 2	f3	7	10.3		1	S	Hailey	33	D. integrifolia	Alexandra Fiord	MEAD	1	C	446	224	Longterm	Cassandra			
MEAD1C	446	33	C1.H05.C1f3_MEAD1C_446_33_R1_val_1_bismark_bt2_pe.bam	60241255	42463992	8483452	9293590	221	6444793	36019199	1266027883	41609444	93864429	25161604	150514054	24956746	929921606	D. integrifolia	Alexandra Fiord	MEAD	1	C	446	224	Longterm	Cassandra	MEAD_1_C_446	Dryas	MEAD	1	C	446	219	NA	NA	3	NA	NA	NA	NA	49	Sen	3	MEAD	C	1	446	Longterm	0	N		NA		0.03	12:39	209	208	0	NA	NA	NA	1 and 2	f3		Dr033	C	446	Dryas	MEAD	1	50	46	48	0	224	Y	61	3.64	11	0.55	3.09	Y	Andrew		123	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	MEAD	1	446	33	NA	NA		0	0	0	0	0	NA	1 and 2	f3	7	10.3		1	S	Hailey	33	D. integrifolia	Alexandra Fiord	MEAD	1	C	446	224	Longterm	Cassandra			
WILL3C	414	100	C1.H07.C1b8_WILL3C_414_100_R1_val_1_bismark_bt2_pe.bam	56623613	39544508	8190217	8888695	193	6169445	33375063	1152870042	39126410	82326098	22578698	137425770	20861535	850551531	D. integrifolia	Alexandra Fiord	WILL	3	C	414	224	Longterm	Cassandra	WILL_3_C_414	Dryas	WILL	3	C	414	219	NA	NA	3	NA	NA	NA	NA	33	Sen	3	WILL	C	3	414	Longterm	0	N		NA		0.03	2:47	209	208	0	NA	NA	NA	1 and 2	b8		Dr100	C	414	Dryas	WILL	3	0	0	NA	NA	224	Y	0	0	0	0	0	N	Hailey		150	1	1		LOW	C	Alexandra Fiord	D. integrifolia	WILL	3	414	100	NA	NA		0	0	0	0	0	NA	1 and 2	b8	4	=14-2.4		1	S	Cassandra	100	D. integrifolia	Alexandra Fiord	WILL	3	C	414	224	Longterm	Cassandra			
WILL3C	414	100	C1.H07.C1b8_WILL3C_414_100_R1_val_1_bismark_bt2_pe.bam	56623613	39544508	8190217	8888695	193	6169445	33375063	1152870042	39126410	82326098	22578698	137425770	20861535	850551531	D. integrifolia	Alexandra Fiord	WILL	3	C	414	224	Longterm	Cassandra	WILL_3_C_414	Dryas	WILL	3	C	414	219	NA	NA	3	NA	NA	NA	NA	33	Sen	3	WILL	C	3	414	Longterm	0	N		NA		0.03	2:47	209	208	0	NA	NA	NA	1 and 2	b8		Dr100	C	414	Dryas	WILL	3	0	0	NA	NA	224	Y	0	0	0	0	0	N	Hailey		150	1	1		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	3	414	100	NA	NA		0	0	0	0	0	NA	1 and 2	b8	4	=14-2.4		1	S	Cassandra	100	D. integrifolia	Alexandra Fiord	WILL	3	C	414	224	Longterm	Cassandra			
MEAD	03C	1R0	C2.19.1a1_MEAD_03C_1R0_R1_val_1_bismark_bt2_pe.bam	62390167	45544326	9501656	7343976	209	5092754	40451572	1567495535	45974022	114847075	25624436	192677965	28331654	1160040383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALAS	00C	231	C2.2.3a7_ALAS_00C_231_R1_val_1_bismark_bt2_pe.bam	57646709	42067959	9354664	6223949	137	4759010	37308949	1424615424	47582328	84320191	25570646	172068888	28626653	1066446718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Toolik Lake, Alaska, USA	D.octopetala			C17	231	25	0.002	C6	0	0	0	0	0	0	3 and 4	a7	5	12.8	2- hairy	2			231	D.octopetala	Toolik Lake, Alaska, USA	NA		C	C17	235	N	Jeremy May	68d37'21.09N	149d35'52.90W	
ALAS	00C	231	C2.2.3a7_ALAS_00C_231_R1_val_1_bismark_bt2_pe.bam	57646709	42067959	9354664	6223949	137	4759010	37308949	1424615424	47582328	84320191	25570646	172068888	28626653	1066446718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Toolik Lake, Alaska, USA	D.octopetala			C17	231	25	0.002	C6	0	0	0	0	0	0	3 and 4	a7	5	12.8	2- hairy	2			231	D.octopetala	Toolik Lake, Alaska, USA	NA		C	C17	235	N	Jeremy May	68d37'21.09N	149d35'52.90W	
CASS	09C	541	C2.21.1f4_CASS_09C_541_R1_val_1_bismark_bt2_pe.bam	68412534	49779276	10372795	8260270	193	5744033	44035243	1619646456	51289993	109297985	28481839	194035266	32657308	1203884065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LATJ	02C	194	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	2	1	1	1	0.04	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
LATJ	02C	194	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	0	0	0	0	0	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
LATJ	00C	187	C2.27.3e1_LATJ_00C_187_R1_val_1_bismark_bt2_pe.bam	73121593	54343338	10228875	8549150	230	6644141	47699197	1805625041	55703342	122752771	30031186	220284337	34718461	1342134944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	outside	C12	187	25	0.013	C3	1	0	3	4	4	0.16	3 and 4	e1	2	11.5		NA			187	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	outside	C	C12	238	N	Johan Martinelli			
LATJ	00C	187	C2.27.3e1_LATJ_00C_187_R1_val_1_bismark_bt2_pe.bam	73121593	54343338	10228875	8549150	230	6644141	47699197	1805625041	55703342	122752771	30031186	220284337	34718461	1342134944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	outside	C12	187	25	0.013	C3	0	0	3	5	5	0.2	3 and 4	e1	2	11.5		NA			187	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	outside	C	C12	238	N	Johan Martinelli			
ALAS	00C	227	C2.4.3e6_ALAS_00C_227_R1_val_1_bismark_bt2_pe.bam	61189016	44732423	9701475	6754997	121	5017220	39715203	1444606896	55185734	78598456	33225793	163640594	39180317	1074776002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Toolik Lake, Alaska, USA	D.octopetala			C9	227	25	0.002	C7	0	0	0	0	0	0	3 and 4	e6	5	15.6	4 hairy lv	4			227	D.octopetala	Toolik Lake, Alaska, USA	NA		C	C9	235	N	Jeremy May	68d37'21.09N	149d35'52.90W	
ALAS	00C	227	C2.4.3e6_ALAS_00C_227_R1_val_1_bismark_bt2_pe.bam	61189016	44732423	9701475	6754997	121	5017220	39715203	1444606896	55185734	78598456	33225793	163640594	39180317	1074776002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Toolik Lake, Alaska, USA	D.octopetala			C9	227	25	0.002	C7	0	0	0	0	0	0	3 and 4	e6	5	15.6	4 hairy lv	4			227	D.octopetala	Toolik Lake, Alaska, USA	NA		C	C9	235	N	Jeremy May	68d37'21.09N	149d35'52.90W	
SVAL	0C	269	C2.6.3g11_SVAL_0C_269_R1_val_1_bismark_bt2_pe.bam	72105011	53089892	10420914	8594040	165	7898217	45191675	1629168458	52984571	119034519	29624508	191718546	36170569	1199635745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Svalbard	D.octopetala		18	C18	269	NA	NA		0	0	0	0	0	NA	3 and 4	g11	5	11.3	1 hairy	1			269	D.octopetala	Svalbard	NA	18	C	C18	NA	N	Petr Matek			No seed
SVAL	0C	269	C2.6.3g11_SVAL_0C_269_R1_val_1_bismark_bt2_pe.bam	72105011	53089892	10420914	8594040	165	7898217	45191675	1629168458	52984571	119034519	29624508	191718546	36170569	1199635745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Svalbard	D.octopetala		18	C18	269	NA	NA		0	0	0	0	0	NA	3 and 4	g11	5	11.3	1 hairy	1			269	D.octopetala	Svalbard	NA	18	C	C18	NA	N	Petr Matek			No seed
